record_id|fiscal_year|period|category|line_item|actual_zmw|description|source_document|source_table|source_page
KIT-REV-2023-LT-004|2023|FY2023|Local Taxes|Personal Levy|170279.0|FY2023 personal levy|Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf|Note 2|24.0
KIT-REV-2024-LT-001|2024|FY2024|Local Taxes|Residential Rates|7462769.0|FY2024 residential rates|Kitwe-C-C-2024-Audited-financial-statements-final-071125.pdf|Note 2|25.0
KIT-REV-2024-LT-002|2024|FY2024|Local Taxes|Industrial/Commercial Rates|24546043.0|FY2024 industrial/commercial rates|Kitwe-C-C-2024-Audited-financial-statements-final-071125.pdf|Note 2|25.0
KIT-REV-2024-LT-003|2024|FY2024|Local Taxes|Mining Rates|186119095.0|FY2024 mining rates|Kitwe-C-C-2024-Audited-financial-statements-final-071125.pdf|Note 2|25.0
KIT-REV-2024-LT-004|2024|FY2024|Local Taxes|Personal Levy|421093.0|FY2024 personal levy|Kitwe-C-C-2024-Audited-financial-statements-final-071125.pdf|Note 2|25.0
KIT-REV-2023-FC-001|2023|FY2023|Fees and Charges|Total Fees and Charges|30706709.0|FY2023 total fees and charges|Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf|Note 3|24.0
KIT-REV-2023-FC-002|2023|FY2023|Fees and Charges|Market Fees|3882724.0|FY2023 market fees|Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf|Note 3|24.0
KIT-REV-2023-FC-003|2023|FY2023|Fees and Charges|Bus Station Fees|5702116.0|FY2023 bus station fees|Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf|Note 3|24.0
KIT-REV-2023-FC-004|2023|FY2023|Fees and Charges|Grave Reservation|4480070.0|FY2023 grave reservation fees|Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf|Note 3|24.0
KIT-REV-2023-FC-005|2023|FY2023|Fees and Charges|Billboards and Banners|1921981.0|FY2023 billboard fees|Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf|Note 3|24.0
KIT-REV-2023-LV-001|2023|FY2023|Levies|Retail Levy|6493459.0|FY2023 retail levy|Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf|Note 5|27.0
KIT-REV-2023-LV-002|2023|FY2023|Levies|Petroleum Levy|1040680.0|FY2023 petroleum levy|Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf|Note 5|27.0
KIT-REV-2023-PM-001|2023|FY2023|Permits|Health Permit|6554389.0|FY2023 health permits|Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf|Note 6|28.0
KIT-REV-2023-PM-002|2023|FY2023|Permits|Fire Certificates|3478794.0|FY2023 fire certificates|Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf|Note 6|28.0
KIT-REV-2024-LV-001|2024|FY2024|Levies|Retail Levy|10120090.0|FY2024 retail levy|Kitwe-C-C-2024-Audited-financial-statements-final-071125.pdf|Note 5|28.0
KIT-REV-2024-LV-002|2024|FY2024|Levies|Petroleum Levy|1254140.0|FY2024 petroleum levy|Kitwe-C-C-2024-Audited-financial-statements-final-071125.pdf|Note 5|28.0
KIT-REV-2024-PM-001|2024|FY2024|Permits|Health Permit|8732678.0|FY2024 health permits|Kitwe-C-C-2024-Audited-financial-statements-final-071125.pdf|Note 6|28.0
KIT-REV-2024-PM-002|2024|FY2024|Permits|Fire Certificates|4872949.0|FY2024 fire certificates|Kitwe-C-C-2024-Audited-financial-statements-final-071125.pdf|Note 6|28.0
KIT-REV-2024-PM-003|2024|FY2024|Permits|Burial Permits|4544058.0|FY2024 burial permits (new line item)|Kitwe-C-C-2024-Audited-financial-statements-final-071125.pdf|Note 6|28.0
KIT-EXP-2018-001|2018|FY2018|Personal Emoluments|Personal Emoluments|66983271.0|FY2018 personal emoluments|Kitwe-City-Council-2018-FS.pdf|Note 13|24.0
KIT-EXP-2018-002|2018|FY2018|Goods and Services|Use of Goods and Services|28413727.0|FY2018 goods and services|Kitwe-City-Council-2018-FS.pdf|Note 14|26.0
KIT-EXP-2019-001|2019|FY2019|Personal Emoluments|Personal Emoluments|70268646.0|FY2019 personal emoluments|Kitwe-City-Council-2019-FS.pdf|Note 13|27.0
KIT-EXP-2019-002|2019|FY2019|Goods and Services|Use of Goods and Services|41715575.0|FY2019 goods and services|Kitwe-City-Council-2019-FS.pdf|Note 14|27.0
KIT-EXP-2020-001|2020|FY2020|Personal Emoluments|Personal Emoluments|65765139.0|FY2020 personal emoluments|Kitwe-City-Council-2020-FS.pdf|Note 13|27.0
KIT-EXP-2020-002|2020|FY2020|Goods and Services|Use of Goods and Services|31664071.0|FY2020 goods and services|Kitwe-City-Council-2020-FS.pdf|Note 14|28.0
KIT-EXP-2021-001|2021|FY2021|Personal Emoluments|Personal Emoluments|68821507.0|FY2021 personal emoluments|Kitwe-City-Council-2021-FS.pdf|Note 13|29.0
KIT-EXP-2021-002|2021|FY2021|Goods and Services|Use of Goods and Services|47278614.0|FY2021 goods and services|Kitwe-City-Council-2021-FS.pdf|Note 14|29.0
KIT-EXP-2022-001|2022|FY2022|Personal Emoluments|Personal Emoluments|84176732.0|FY2022 personal emoluments|Kitwe-City-Council-2022-Financial-Statements.docx|Note 13|30.0
KIT-EXP-2022-002|2022|FY2022|Goods and Services|Use of Goods and Services|75836968.0|FY2022 goods and services|Kitwe-City-Council-2022-Financial-Statements.docx|Note 14|30.0
KIT-EXP-2022-003|2022|FY2022|Social Benefits|Social Benefits|7262787.0|FY2022 social benefits|Kitwe-City-Council-2022-Financial-Statements.docx|Note 16|31.0
